operator,rarity,release_cn,model_key,appellation,asset_id,pet_id,display_name,status,stage,preflight,mapping_qa,direction_qa,atlas_qa,visual_qa,package_path,commit,error,release_source,catalog_commit
Lancet-2,1,2019-04-30 10:00:00,285_medic2,Lancet-2,build_char_285_medic2,lancet-2,Lancet-2,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
Castle-3,1,2019-04-30 10:00:00,286_cast3,Castle-3,build_char_286_cast3,castle-3,Castle-3,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
夜刀,2,2019-04-30 10:00:00,502_nblade,Yato,build_char_502_nblade,yato,夜刀,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
黑角,2,2019-04-30 10:00:00,500_noirc,Noir Corne,build_char_500_noirc,noir-corne,黑角,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
巡林者,2,2019-04-30 10:00:00,503_rang,Rangers,build_char_503_rang,rangers,巡林者,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
杜林,2,2019-04-30 10:00:00,501_durin,Durin,build_char_501_durin,durin,杜林,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
12F,2,2019-04-30 10:00:00,009_12fce,12F,build_char_009_12fce,12f,12F,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
芬,3,2019-04-30 10:00:00,123_fang,Fang,build_char_123_fang,fang,芬,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
香草,3,2019-04-30 10:00:00,240_wyvern,Vanilla,build_char_240_wyvern,vanilla,香草,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
翎羽,3,2019-04-30 10:00:00,192_falco,Plume,build_char_192_falco,plume,翎羽,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
玫兰莎,3,2019-04-30 10:00:00,208_melan,Melantha,build_char_208_melan,melantha,玫兰莎,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
卡缇,3,2019-04-30 10:00:00,209_ardign,Cardigan,build_char_209_ardign,cardigan,卡缇,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
米格鲁,3,2019-04-30 10:00:00,122_beagle,Beagle,build_char_122_beagle,beagle,米格鲁,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
克洛丝,3,2019-04-30 10:00:00,124_kroos,Kroos,build_char_124_kroos,kroos,克洛丝,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
安德切尔,3,2019-04-30 10:00:00,211_adnach,Adnachiel,build_char_211_adnach,adnachiel,安德切尔,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
炎熔,3,2019-04-30 10:00:00,121_lava,Lava,build_char_121_lava,lava,炎熔,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
芙蓉,3,2019-04-30 10:00:00,120_hibisc,Hibiscus,build_char_120_hibisc,hibiscus,芙蓉,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
安赛尔,3,2019-04-30 10:00:00,212_ansel,Ansel,build_char_212_ansel,ansel,安赛尔,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
史都华德,3,2019-04-30 10:00:00,210_stward,Steward,build_char_210_stward,steward,史都华德,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
梓兰,3,2019-04-30 10:00:00,278_orchid,Orchid,build_char_278_orchid,orchid,梓兰,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
夜烟,4,2019-04-30 10:00:00,141_nights,Haze,build_char_141_nights,haze,夜烟,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
远山,4,2019-04-30 10:00:00,109_fmout,Gitano,build_char_109_fmout,gitano,远山,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
杰西卡,4,2019-04-30 10:00:00,235_jesica,Jessica,build_char_235_jesica,jessica,杰西卡,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
流星,4,2019-04-30 10:00:00,126_shotst,Meteor,build_char_126_shotst,meteor,流星,pending,catalogued,pending,pending,pending,pending,pending,,,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed
