operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path
陈,6,2019-07-09 16:00:00,Ch'en,build_char_010_chen,010_chen,ch-en,陈,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/ch-en
苏苏洛,4,2019-08-27 16:00:00,Sussurro,build_char_298_susuro,298_susuro,sussurro,苏苏洛,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/sussurro
锡兰,5,2019-08-27 16:00:00,Ceylon,build_char_348_ceylon,348_ceylon,ceylon,锡兰,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/ceylon
格劳克斯,5,2019-08-27 16:00:00,Glaucus,build_char_326_glacus,326_glacus,glaucus,格劳克斯,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/glaucus
黑,6,2019-08-27 16:00:00,Schwarz,build_char_340_shwaz,340_shwaz,schwarz,黑,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/schwarz
桃金娘,4,2019-09-10 16:00:00,Myrtle,build_char_151_myrtle,151_myrtle,myrtle,桃金娘,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/myrtle
星极,5,2019-09-10 16:00:00,Astesia,build_char_274_astesi,274_astesi,astesia,星极,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/astesia
赫拉格,6,2019-09-10 16:00:00,Hellagur,build_char_188_helage,188_helage,hellagur,赫拉格,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/hellagur
坚雷,4,2019-10-01 04:00:00,Dur-nar,build_char_260_durnar,260_durnar,dur-nar,坚雷,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/dur-nar
红云,4,2019-10-15 16:00:00,Vermeil,build_char_190_clour,190_clour,vermeil,红云,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/vermeil
