operator,category,rarity,release_cn,appellation,asset_id,release_source,catalog_commit,skin_id,skin_name,skin_group,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
天火,skin,5,2019-08-27 16:00:00,Skyfire,build_char_166_skfire_summer#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_166_skfire@summer#1,温差 RT.RX01,珊瑚海岸/I,166_skfire_summer#1,skyfire-summer-1,天火·温差 RT.RX01,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/skyfire-summer-1,88268c407e79cc5f2da3aca80cbf63fc06231187
闪灵,skin,6,2019-08-27 16:00:00,Shining,build_char_147_shining_summer#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_147_shining@summer#1,静谧午夜 DN02,珊瑚海岸/I,147_shining_summer#1,shining-summer-1,闪灵·静谧午夜 DN02,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/shining-summer-1,88268c407e79cc5f2da3aca80cbf63fc06231187
Castle-3,skin,1,2019-09-10 04:00:00,Castle-3,build_char_286_cast3_summer#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_286_cast3@summer#1,SUM019.ver,珊瑚海岸/I,286_cast3_summer#1,castle-3-summer-1,Castle-3·SUM019.ver,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/castle-3-summer-1,88268c407e79cc5f2da3aca80cbf63fc06231187
角峰,skin,4,2019-09-10 04:00:00,Matterhorn,build_char_199_yak_summer#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_199_yak@summer#1,沙滩护卫 GT.001,珊瑚海岸/I,199_yak_summer#1,matterhorn-summer-1,角峰·沙滩护卫 GT.001,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/matterhorn-summer-1,88268c407e79cc5f2da3aca80cbf63fc06231187
古米,skin,4,2019-09-10 16:00:00,Гум,build_char_196_sunbr_summer#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_196_sunbr@summer#1,夏卉 FA011,珊瑚海岸/I,196_sunbr_summer#1,gummy-summer-1,古米·夏卉 FA011,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/gummy-summer-1,88268c407e79cc5f2da3aca80cbf63fc06231187
空,skin,5,2019-09-10 16:00:00,Sora,build_char_101_sora_summer#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_101_sora@summer#1,夏卉 FA361,珊瑚海岸/I,101_sora_summer#1,sora-summer-1,空·夏卉 FA361,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/sora-summer-1,88268c407e79cc5f2da3aca80cbf63fc06231187
伊芙利特,skin,6,2019-09-10 16:00:00,Ifrit,build_char_134_ifrit_summer#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_134_ifrit@summer#1,日晒 SS.SP,珊瑚海岸/I,134_ifrit_summer#1,ifrit-summer-1,伊芙利特·日晒 SS.SP,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/ifrit-summer-1,88268c407e79cc5f2da3aca80cbf63fc06231187
玫兰莎,skin,3,2019-10-07 04:00:00,Melantha,build_char_208_melan_epoque#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_208_melan@epoque#1,威塞克斯的信件,时代/I,208_melan_epoque#1,melantha-epoque-1,玫兰莎·威塞克斯的信件,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/melantha-epoque-1,88268c407e79cc5f2da3aca80cbf63fc06231187
杰西卡,skin,4,2019-10-15 16:00:00,Jessica,build_char_235_jesica_sweep#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_235_jesica@sweep#1,铁块,雷神开拓者,235_jesica_sweep#1,jessica-sweep-1,杰西卡·铁块,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/jessica-sweep-1,88268c407e79cc5f2da3aca80cbf63fc06231187
赫默,skin,5,2019-10-15 16:00:00,Silence,build_char_108_silent_sweep#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_108_silent@sweep#1,漆匠,雷神开拓者,108_silent_sweep#1,silence-sweep-1,赫默·漆匠,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/silence-sweep-1,88268c407e79cc5f2da3aca80cbf63fc06231187
