operator,category,rarity,release_cn,appellation,asset_id,release_source,catalog_commit,skin_id,skin_name,skin_group,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,model_key,pet_id,display_name,package_path,commit
白面鸮,skin,5,2020-02-25 08:00:00,Ptilopsis,build_char_128_plosis_epoque#3,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_128_plosis@epoque#3,幽静,时代/III,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,128_plosis_epoque#3,ptilopsis-epoque-3,白面鸮·幽静,pets/ptilopsis-epoque-3,8f07996fb9e2ef4ebc4092ae0f2a5e411b87b719
银灰,skin,6,2019-12-24 16:00:00,SilverAsh,build_char_172_svrash_snow#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_172_svrash@snow#1,约克的寒风,冰原信使/I,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,172_svrash_snow#1,silverash-snow-1,银灰·约克的寒风,pets/silverash-snow-1,8f07996fb9e2ef4ebc4092ae0f2a5e411b87b719
初雪,skin,5,2019-12-24 16:00:00,Pramanix,build_char_174_slbell_snow#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_174_slbell@snow#1,开斯特之霜,冰原信使/I,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,174_slbell_snow#1,pramanix-snow-1,初雪·开斯特之霜,pets/pramanix-snow-1,8f07996fb9e2ef4ebc4092ae0f2a5e411b87b719
黑,skin,6,2019-12-24 16:00:00,Schwarz,build_char_340_shwaz_snow#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_340_shwaz@snow#1,厚礼,冰原信使/I,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,340_shwaz_snow#1,schwarz-snow-1,黑·厚礼,pets/schwarz-snow-1,8f07996fb9e2ef4ebc4092ae0f2a5e411b87b719
卡缇,skin,3,2019-12-26 04:00:00,Cardigan,build_char_209_ardign_snow#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_209_ardign@snow#1,快乐卫士,冰原信使/I,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,209_ardign_snow#1,cardigan-snow-1,卡缇·快乐卫士,pets/cardigan-snow-1,8f07996fb9e2ef4ebc4092ae0f2a5e411b87b719
食铁兽,skin,5,2020-01-01 04:00:00,FEater,build_char_241_panda_marthe#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_241_panda@marthe#1,片场一角,玛尔特/I,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,241_panda_marthe#1,feater-marthe-1,食铁兽·片场一角,pets/feater-marthe-1,8f07996fb9e2ef4ebc4092ae0f2a5e411b87b719
陈,skin,6,2020-01-16 16:00:00,Ch'en,build_char_010_chen_nian#2,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_010_chen@nian#2,岁红霞,0011制造/II,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,010_chen_nian#2,ch-en-nian-2,陈·岁红霞,pets/ch-en-nian-2,8f07996fb9e2ef4ebc4092ae0f2a5e411b87b719
雷蛇,skin,5,2020-01-16 16:00:00,Liskarm,build_char_107_liskam_nian#2,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_107_liskam@nian#2,春竜,0011制造/II,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,107_liskam_nian#2,liskarm-nian-2,雷蛇·春竜,pets/liskarm-nian-2,8f07996fb9e2ef4ebc4092ae0f2a5e411b87b719
诗怀雅,skin,5,2020-01-16 16:00:00,Swire,build_char_308_swire_nian#2,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_308_swire@nian#2,富贵荣华,0011制造/II,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,308_swire_nian#2,swire-nian-2,诗怀雅·富贵荣华,pets/swire-nian-2,8f07996fb9e2ef4ebc4092ae0f2a5e411b87b719
杰西卡,skin,4,2020-01-31 04:00:00,Jessica,build_char_235_jesica_nian#2,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_235_jesica@nian#2,君子兰,0011制造/II,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,235_jesica_nian#2,jessica-nian-2,杰西卡·君子兰,pets/jessica-nian-2,8f07996fb9e2ef4ebc4092ae0f2a5e411b87b719
