operator,category,rarity,release_cn,appellation,asset_id,release_source,catalog_commit,skin_id,skin_name,skin_group,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit,model_key,pet_id,display_name
崖心,skin,5,2020-03-08 20:00:00,Cliffheart,build_char_173_slchan_wwf#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_173_slchan@wwf#1,高原访客,WWF,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/cliffheart-wwf-1,a88422cae1edbca74e59ee596aa4b1e0fe02a3bc,173_slchan_wwf#1,cliffheart-wwf-1,崖心·高原访客
凛冬,skin,5,2020-03-17 08:00:00,Зима,build_char_115_headbr_marthe#2,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_115_headbr@marthe#2,整装待发,玛尔特/II,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/zima-marthe-2,a88422cae1edbca74e59ee596aa4b1e0fe02a3bc,115_headbr_marthe#2,zima-marthe-2,凛冬·整装待发
星熊,skin,6,2020-03-17 08:00:00,Hoshiguma,build_char_136_hsguma_nian#3,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_136_hsguma@nian#3,狩标浪人,0011/飙系列,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/hoshiguma-nian-3,a88422cae1edbca74e59ee596aa4b1e0fe02a3bc,136_hsguma_nian#3,hoshiguma-nian-3,星熊·狩标浪人
嘉维尔,skin,4,2020-03-17 08:00:00,Gavial,build_char_187_ccheal_epoque#2,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_187_ccheal@epoque#2,战医,时代/II,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/gavial-epoque-2,a88422cae1edbca74e59ee596aa4b1e0fe02a3bc,187_ccheal_epoque#2,gavial-epoque-2,嘉维尔·战医
阿米娅,skin,5,2020-04-30 20:00:00,Amiya,build_char_002_amiya_epoque#4,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_002_amiya@epoque#4,见习联结者,忒斯特收藏/II,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/amiya-epoque-4,a88422cae1edbca74e59ee596aa4b1e0fe02a3bc,002_amiya_epoque#4,amiya-epoque-4,阿米娅·见习联结者
拉普兰德,skin,5,2020-05-01 08:00:00,Lappland,build_char_140_whitew_boc#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_140_whitew@boc#1,典雅噩兆,斗争血脉/I,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/lappland-boc-1,a88422cae1edbca74e59ee596aa4b1e0fe02a3bc,140_whitew_boc#1,lappland-boc-1,拉普兰德·典雅噩兆
塞雷娅,skin,6,2020-05-01 08:00:00,Saria,build_char_202_demkni_boc#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_202_demkni@boc#1,坚城,斗争血脉/I,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/saria-boc-1,a88422cae1edbca74e59ee596aa4b1e0fe02a3bc,202_demkni_boc#1,saria-boc-1,塞雷娅·坚城
送葬人,skin,5,2020-05-01 08:00:00,Executor,build_char_279_excu_boc#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_279_excu@boc#1,无题密令,斗争血脉/I,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/executor-boc-1,a88422cae1edbca74e59ee596aa4b1e0fe02a3bc,279_excu_boc#1,executor-boc-1,送葬人·无题密令
月见夜,skin,3,2020-05-01 08:00:00,Midnight,build_char_283_midn_boc#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_283_midn@boc#1,第七夜苏醒魔君,斗争血脉/I,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/midnight-boc-1,a88422cae1edbca74e59ee596aa4b1e0fe02a3bc,283_midn_boc#1,midnight-boc-1,月见夜·第七夜苏醒魔君
灰喉,skin,5,2020-05-01 08:00:00,GreyThroat,build_char_367_swllow_boc#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_367_swllow@boc#1,归巢,斗争血脉/I,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/grey-throat-boc-1,a88422cae1edbca74e59ee596aa4b1e0fe02a3bc,367_swllow_boc#1,grey-throat-boc-1,灰喉·归巢
