operator,category,rarity,release_cn,appellation,asset_id,release_source,catalog_commit,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
假日威龙陈,default,6,2021-08-03 16:00:00,Ch'en the Holungday,build_char_1013_chen2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1013_chen2,ch-en-the-holungday,假日威龙陈,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/ch-en-the-holungday,5bb6663bd0cc82d3646bef682276096cc03c13ab
耀骑士临光,default,6,2021-11-01 16:00:00,Nearl the Radiant Knight,build_char_1014_nearl2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1014_nearl2,nearl-the-radiant-knight,耀骑士临光,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/nearl-the-radiant-knight,5bb6663bd0cc82d3646bef682276096cc03c13ab
寒芒克洛丝,default,5,2022-01-25 16:00:00,Kroos the Keen Glint,build_char_1021_kroos2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1021_kroos2,kroos-the-keen-glint,寒芒克洛丝,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/kroos-the-keen-glint,5bb6663bd0cc82d3646bef682276096cc03c13ab
归溟幽灵鲨,default,6,2022-05-01 16:00:00,Specter the Unchained,build_char_1023_ghost2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1023_ghost2,specter-the-unchained,归溟幽灵鲨,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/specter-the-unchained,5bb6663bd0cc82d3646bef682276096cc03c13ab
濯尘芙蓉,default,5,2022-06-09 16:00:00,Hibiscus the Purifier,build_char_1024_hbisc2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1024_hbisc2,hibiscus-the-purifier,濯尘芙蓉,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/hibiscus-the-purifier,5bb6663bd0cc82d3646bef682276096cc03c13ab
承曦格雷伊,default,5,2022-07-05 16:00:00,Greyy the Lightningbearer,build_char_1027_greyy2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1027_greyy2,greyy-the-lightningbearer,承曦格雷伊,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/greyy-the-lightningbearer,5bb6663bd0cc82d3646bef682276096cc03c13ab
百炼嘉维尔,default,6,2022-08-11 16:00:00,Gavial the Invincible,build_char_1026_gvial2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1026_gvial2,gavial-the-invincible,百炼嘉维尔,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/gavial-the-invincible,5bb6663bd0cc82d3646bef682276096cc03c13ab
缄默德克萨斯,default,6,2022-11-01 16:00:00,Texas the Omertosa,build_char_1028_texas2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1028_texas2,texas-the-omertosa,缄默德克萨斯,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/texas-the-omertosa,5bb6663bd0cc82d3646bef682276096cc03c13ab
焰影苇草,default,6,2022-12-15 16:00:00,Reed The Flame Shadow,build_char_1020_reed2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1020_reed2,reed-the-flame-shadow,焰影苇草,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/reed-the-flame-shadow,5bb6663bd0cc82d3646bef682276096cc03c13ab
火龙S黑角,default,5,2023-03-07 16:00:00,Rathalos S Noir Corne,build_char_1030_noirc2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1030_noirc2,rathalos-s-noir-corne,火龙S黑角,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/rathalos-s-noir-corne,5bb6663bd0cc82d3646bef682276096cc03c13ab
