operator,category,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
八幡海铃,default,5,2025-09-04 16:00:00,Yahata Umiri,build_char_4186_tmoris,4186_tmoris,yahata-umiri,八幡海铃,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/yahata-umiri,1332d983be2c9f0438d8ba7ba1969bae5910dbcf
若叶睦,default,5,2025-09-04 16:00:00,Wakaba Mutsumi,build_char_4183_mortis,4183_mortis,wakaba-mutsumi,若叶睦,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/wakaba-mutsumi,1332d983be2c9f0438d8ba7ba1969bae5910dbcf
三角初华,default,5,2025-09-04 16:00:00,Misumi Uika,build_char_4184_dolris,4184_dolris,misumi-uika,三角初华,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/misumi-uika,1332d983be2c9f0438d8ba7ba1969bae5910dbcf
丰川祥子,default,6,2025-09-04 16:00:00,Togawa Sakiko,build_char_4182_oblvns,4182_oblvns,togawa-sakiko,丰川祥子,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/togawa-sakiko,1332d983be2c9f0438d8ba7ba1969bae5910dbcf
冬时,default,4,2025-10-09 12:00:00,Снегурочка,build_char_4208_wintim,4208_wintim,snegurochka,冬时,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/snegurochka,1332d983be2c9f0438d8ba7ba1969bae5910dbcf
折桠,default,5,2025-10-09 12:00:00,Веточки,build_char_4207_branch,4207_branch,vetochki,折桠,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/vetochki,1332d983be2c9f0438d8ba7ba1969bae5910dbcf
真言,default,6,2025-10-09 12:00:00,Mantra,build_char_4204_mantra,4204_mantra,mantra,真言,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/mantra,1332d983be2c9f0438d8ba7ba1969bae5910dbcf
协律,default,4,2025-11-01 12:00:00,Akkord,build_char_4051_akkord,4051_akkord,akkord,协律,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/akkord,1332d983be2c9f0438d8ba7ba1969bae5910dbcf
哈蒂娅,default,5,2025-11-01 12:00:00,Hadiya,build_char_394_hadiya,394_hadiya,hadiya,哈蒂娅,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/hadiya,1332d983be2c9f0438d8ba7ba1969bae5910dbcf
雪猎,default,5,2025-11-01 12:00:00,Snow Hunter,build_char_4211_snhunt,4211_snhunt,snow-hunter,雪猎,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/snow-hunter,1332d983be2c9f0438d8ba7ba1969bae5910dbcf
