operator,category,rarity,release_cn,appellation,asset_id,status,stage,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit,error,release_source,catalog_commit,model_key,pet_id,display_name,attempts,qa
溯光星源,default,6,2025-11-01 12:00:00,Astgenne the Lightchaser,build_char_1047_halo2,complete,packaged,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/astgenne-the-lightchaser,6f945c8a9dcd452615f4d1ca4f4d399f823afe13,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1047_halo2,astgenne-the-lightchaser,溯光星源,0,
圣聆初雪,default,6,2025-11-01 12:00:00,Pramanix the Prerita,build_char_1046_sbell2,complete,packaged,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/pramanix-the-prerita,6f945c8a9dcd452615f4d1ca4f4d399f823afe13,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1046_sbell2,pramanix-the-prerita,圣聆初雪,0,
凛御银灰,default,6,2025-11-01 12:00:00,SilverAsh the Reignfrost,build_char_1045_svash2,complete,packaged,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/silverash-the-reignfrost,6f945c8a9dcd452615f4d1ca4f4d399f823afe13,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1045_svash2,silverash-the-reignfrost,凛御银灰,0,
天空盒,default,5,2025-12-05 12:00:00,Skybox,build_char_4213_skybx,complete,packaged,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/skybox,6f945c8a9dcd452615f4d1ca4f4d399f823afe13,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,4213_skybx,skybox,天空盒,0,
响石,default,5,2025-12-05 12:00:00,Cairn,build_char_4214_cairn,complete,packaged,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/cairn,6f945c8a9dcd452615f4d1ca4f4d399f823afe13,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,4214_cairn,cairn,响石,0,
娜斯提,default,6,2025-12-05 12:00:00,Nasti,build_char_4212_nasti,complete,packaged,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/nasti,6f945c8a9dcd452615f4d1ca4f4d399f823afe13,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,4212_nasti,nasti,娜斯提,0,
摆渡人,default,5,2026-01-09 12:00:00,Varkáris,build_char_4166_varkis,complete,packaged,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/varkaris,6f945c8a9dcd452615f4d1ca4f4d399f823afe13,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,4166_varkis,varkaris,摆渡人,0,
撷英调香师,default,5,2026-01-09 12:00:00,Perfumer the Distilled,build_char_1022_flwr2,complete,packaged,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/perfumer-the-distilled,6f945c8a9dcd452615f4d1ca4f4d399f823afe13,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1022_flwr2,perfumer-the-distilled,撷英调香师,0,
缇缇,default,6,2026-01-09 12:00:00,Titi,build_char_4056_titi,complete,packaged,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/titi,6f945c8a9dcd452615f4d1ca4f4d399f823afe13,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,4056_titi,titi,缇缇,0,
矩,default,5,2026-02-10 12:00:00,Ju,build_char_4221_ju,complete,packaged,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/ju,6f945c8a9dcd452615f4d1ca4f4d399f823afe13,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,4221_ju,ju,矩,0,
