operator,category,rarity,release_cn,appellation,asset_id,status,stage,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit,error,release_source,catalog_commit,model_key,pet_id,display_name,attempts,qa
维伊,default,6,2026-05-01 12:00:00,Вий,build_char_4226_veen,complete,packaged,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/viy,8f2c9f56d2e626681d95b9c3a9a94d2e2d45f86e,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,4226_veen,viy,维伊,0,
可露希尔,default,6,2026-05-01 12:00:00,Closure,build_char_4228_closur,complete,packaged,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/closure,8f2c9f56d2e626681d95b9c3a9a94d2e2d45f86e,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,4228_closur,closure,可露希尔,0,
凯尔希·思衡托,default,6,2026-05-01 12:00:00,Kal'tsit·Esperanta,build_char_1052_kalts2,complete,packaged,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/kal-tsit-esperanta,8f2c9f56d2e626681d95b9c3a9a94d2e2d45f86e,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1052_kalts2,kal-tsit-esperanta,凯尔希·思衡托,0,
罗德岛隐秘队,default,1,2026-06-01 12:00:00,Rhodes Island Recon,build_char_4215_buddy,complete,packaged,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/rhodes-island-recon,8f2c9f56d2e626681d95b9c3a9a94d2e2d45f86e,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,4215_buddy,rhodes-island-recon,罗德岛隐秘队,0,
雷狼龙S空爆,default,5,2026-06-01 12:00:00,Zinogre S Catapult,build_char_1049_catap2,complete,packaged,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/zinogre-s-catapult,8f2c9f56d2e626681d95b9c3a9a94d2e2d45f86e,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1049_catap2,zinogre-s-catapult,雷狼龙S空爆,0,
焰狐龙梓兰,default,6,2026-06-01 12:00:00,Violet Mizutsune Orchid,build_char_1048_orchd2,complete,packaged,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/violet-mizutsune-orchid,8f2c9f56d2e626681d95b9c3a9a94d2e2d45f86e,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1048_orchd2,violet-mizutsune-orchid,焰狐龙梓兰,0,
佩德洛,default,5,2026-07-10 12:00:00,Pedro,build_char_4234_pedro,complete,packaged,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/pedro,8f2c9f56d2e626681d95b9c3a9a94d2e2d45f86e,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,4234_pedro,pedro,佩德洛,0,
谬因,default,6,2026-07-10 12:00:00,Aphrissa,build_char_4229_aphris,complete,packaged,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/aphrissa,8f2c9f56d2e626681d95b9c3a9a94d2e2d45f86e,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,4229_aphris,aphrissa,谬因,0,
炎狱炎熔,default,5,2021-02-05 16:00:00,Lava the Purgatory,build_char_1011_lava2,complete,packaged,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/lava-the-purgatory,8f2c9f56d2e626681d95b9c3a9a94d2e2d45f86e,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1011_lava2,lava-the-purgatory,炎狱炎熔,0,
浊心斯卡蒂,default,6,2021-05-01 16:00:00,Skadi the Corrupting Heart,build_char_1012_skadi2,complete,packaged,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/skadi-the-corrupting-heart,8f2c9f56d2e626681d95b9c3a9a94d2e2d45f86e,,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1012_skadi2,skadi-the-corrupting-heart,浊心斯卡蒂,0,
